x_,y_,t_,id,sex
4610832.756779815,2625155.0644084774,2020-02-14T20:40:38Z,8,f
4610849.751493733,2625173.7515374534,2020-02-14T20:41:38Z,20,m
4610814.836095794,2625180.4545866107,2020-02-15T00:00:13Z,8,f
4610846.031905641,2625179.501482878,2020-02-15T00:00:38Z,20,m
4610842.353724176,2625175.4952341104,2020-02-15T03:20:12Z,20,m
4610817.02076703,2625079.5888649696,2020-02-15T03:20:22Z,8,f
4610790.30266668,2625025.190834524,2020-02-15T06:40:29Z,8,f
4610806.202854194,2625017.0926713673,2020-02-15T06:40:39Z,20,m
4611000.333001949,2624999.4273161907,2020-02-15T10:00:26Z,20,m
4610973.033521312,2625034.096314457,2020-02-15T10:00:38Z,8,f
4610878.865261984,2624842.1827945462,2020-02-15T13:20:30Z,8,f
4610885.2529070405,2624847.600203745,2020-02-15T13:20:33Z,20,m
4610851.9607309485,2625185.319735307,2020-02-15T16:40:25Z,8,f
4610853.919160523,2625169.297293496,2020-02-15T16:40:36Z,20,m
4610842.885693028,2625195.887562176,2020-02-15T20:00:13Z,20,m
4610835.924426243,2625159.0445862873,2020-02-15T20:00:38Z,8,f
4610822.962833701,2625166.8683884363,2020-02-15T23:20:16Z,20,m
4610830.068400276,2625150.2601506277,2020-02-15T23:20:32Z,8,f
4610845.521018062,2625167.595718763,2020-02-16T02:40:24Z,20,m
4610833.829911959,2625152.57354645,2020-02-16T02:40:38Z,8,f
4610821.798598552,2624945.3379422,2020-02-16T06:00:29Z,8,f
4610815.039824533,2625045.5458283788,2020-02-16T06:00:39Z,20,m
4610987.381440486,2625029.3135610744,2020-02-16T09:20:28Z,8,f
4610854.549486799,2624985.6187613057,2020-02-16T09:21:25Z,20,m
4610839.482956231,2625000.5477371113,2020-02-16T12:40:28Z,20,m
4610988.809019946,2625040.417616663,2020-02-16T12:40:35Z,8,f
4610879.740809486,2624851.137243622,2020-02-16T16:00:38Z,8,f
4610883.953764079,2624970.5733005367,2020-02-16T16:00:38Z,20,m
4610850.084974934,2625175.8899346427,2020-02-16T19:20:36Z,20,m
4610828.015808179,2625151.852464104,2020-02-16T19:20:38Z,8,f
4610803.928679177,2625231.2349900147,2020-02-16T22:40:28Z,20,m
4610843.239667924,2625185.723048061,2020-02-16T22:40:39Z,8,f
4610838.977999014,2625181.6870129625,2020-02-17T02:00:20Z,8,f
4610848.5948027205,2625169.0254667634,2020-02-17T02:00:36Z,20,m
4610858.003288039,2625157.626122812,2020-02-17T05:20:13Z,20,m
4610826.793497389,2625053.3584736036,2020-02-17T05:20:38Z,8,f
4610960.10261288,2625030.890255459,2020-02-17T08:40:37Z,8,f
4610873.284677476,2625000.1520328782,2020-02-17T08:40:37Z,20,m
4610867.282976203,2625003.2398080314,2020-02-17T12:00:38Z,20,m
4610887.878927041,2624853.674111346,2020-02-17T12:00:39Z,8,f
4610938.709703559,2624955.9740035143,2020-02-17T15:20:25Z,8,f
4610870.805013327,2625008.935187936,2020-02-17T15:20:38Z,20,m
4610883.038502159,2625036.713330537,2020-02-17T18:40:23Z,20,m
4610971.501851011,2625036.9880088125,2020-02-17T18:40:38Z,8,f
4610856.221687557,2625162.626456806,2020-02-17T22:00:20Z,8,f
4610844.250068759,2625175.592046474,2020-02-17T22:00:39Z,20,m
4610776.607830909,2625198.019881206,2020-02-18T01:20:38Z,8,f
4610839.988219335,2625165.616161527,2020-02-18T01:20:38Z,20,m
4610815.571107515,2625042.178756818,2020-02-18T04:40:12Z,8,f
4610844.01060044,2625181.9439365286,2020-02-18T04:40:39Z,20,m
4610820.331204141,2624994.4787939186,2020-02-18T08:00:21Z,8,f
4610867.782332419,2624975.263217999,2020-02-18T08:00:26Z,20,m
4610816.175754595,2625050.6951000923,2020-02-18T11:20:30Z,8,f
4610872.866889787,2624964.067411543,2020-02-18T11:20:30Z,20,m
4610941.62964483,2625116.4988517975,2020-02-18T14:40:37Z,8,f
4610865.438348036,2624991.6902332213,2020-02-18T14:40:39Z,20,m
4610837.519099741,2625175.6726936144,2020-02-18T18:00:24Z,20,m
4610849.146930113,2625165.235185318,2020-02-18T18:00:37Z,8,f
4610834.132744681,2625174.651268928,2020-02-18T21:20:36Z,20,m
4610832.350078772,2625144.01251607,2020-02-18T21:20:38Z,8,f
4610847.614595217,2625141.3975934507,2020-02-19T00:40:21Z,20,m
4610805.009374453,2625146.8595846957,2020-02-19T00:40:28Z,8,f
4610836.75720615,2625133.2063708073,2020-02-19T04:00:37Z,8,f
4610838.977565827,2625166.8373892666,2020-02-19T04:00:38Z,20,m
